well_position,sample_number,sample_id,sample_type
A01,1.0,DLN002,sample
A02,2.0,DLN007,sample
A03,3.0,DLN009,sample
A04,4.0,DLN010,sample
A05,5.0,DLN012_a,sample
A06,6.0,DLN012_c,sample
A07,7.0,DLN013_a,sample
A08,8.0,DLN016_a,sample
A09,9.0,DLN018_c,sample
A10,10.0,DLN019_b,sample
A11,11.0,DLN020_a,sample
A12,12.0,DLN021,sample
A13,13.0,DLN021_b,sample
A14,14.0,DLN021_c,sample
A15,15.0,DLN022_a,sample
A16,16.0,DLN022_c,sample
A17,17.0,DLN024_a,sample
A18,18.0,DLN024_b,sample
A19,19.0,DLN024_c,sample
A20,20.0,DLN025_a,sample
A21,21.0,DLN025_b,sample
A22,22.0,DLN025_c,sample
A23,,NTC,NTC
A24,,NPC,NPC
B01,23.0,DLN026_a,sample
B02,24.0,DLN026_c,sample
B03,25.0,DLN027_a,sample
B04,26.0,DLN027_b,sample
B05,27.0,DLN027_c,sample
B06,28.0,DLN028_a,sample
B07,29.0,DLN028_b,sample
B08,30.0,DLN028_c,sample
B09,31.0,DLN029_a,sample
B10,32.0,DLN029_b_1,sample
B11,33.0,DLN029_b_2,sample
B12,34.0,DLN029_c,sample
B13,35.0,DLN030_b,sample
B14,36.0,DLN030_c,sample
B15,37.0,DLN031,sample
B16,38.0,DLN031_a,sample
B17,39.0,DLN032,sample
B18,40.0,DLN033,sample
B19,41.0,DLN034,sample
B20,42.0,DLN035_1,sample
B21,43.0,DLN035_2,sample
B22,44.0,DLN036_1,sample
B23,,NTC,NTC
B24,,NPC,NPC
C01,45.0,DLN036_2,sample
C02,46.0,DLN036_3,sample
C03,47.0,DLN037_1,sample
C04,48.0,DLN037_2,sample
C05,49.0,DLN039_1,sample
C06,50.0,DLN039_2,sample
C07,51.0,DLN039_3,sample
C08,52.0,DLN041,sample
C09,53.0,DLN042_a,sample
C10,54.0,DLN042_b,sample
C11,55.0,DLN042_c,sample
C12,56.0,DLN042,sample
C13,57.0,DLN043_b,sample
C14,58.0,DLN043_c,sample
C15,59.0,DLN045_c,sample
C16,60.0,DLN051,sample
C17,61.0,DLN055_1,sample
C18,62.0,DLN055_2,sample
C19,63.0,DLN057,sample
C20,64.0,DLN060_1,sample
C21,65.0,DLN060_2,sample
C22,66.0,DLN061,sample
C23,,NTC,NTC
C24,,NPC,NPC
D01,67.0,DLN063,sample
D02,68.0,DLN064,sample
D03,69.0,DLN065_1,sample
D04,70.0,DLN065_2,sample
D05,71.0,DLN066_1,sample
D06,72.0,DLN066_2,sample
D07,73.0,DLN068,sample
D08,74.0,DLN069,sample
D09,75.0,DLN072,sample
D10,76.0,DLN073,sample
D11,77.0,DLN074_1,sample
D12,78.0,DLN074_2,sample
D13,79.0,DLN075_1,sample
D14,80.0,DLN075_2,sample
D15,81.0,DLN076,sample
D16,82.0,DLN077_1,sample
D17,83.0,DLN077_2,sample
D18,84.0,DLN078,sample
D19,85.0,DLN079,sample
D20,86.0,DLN080,sample
D21,87.0,DLN082,sample
D22,88.0,DLN083,sample
D23,,NTC,NTC
D24,,NPC,NPC
E01,89.0,DLN084_1,sample
E02,90.0,DLN084_2,sample
E03,91.0,DLN085,sample
E04,92.0,DLN086_1,sample
E05,93.0,DLN086_2,sample
E06,94.0,DLN087,sample
E07,95.0,DLN088_1,sample
E08,96.0,DLN088_2,sample
E09,97.0,DLN089_1,sample
E10,98.0,DLN089_2,sample
E11,99.0,DLN090_1,sample
E12,100.0,DLN090_2,sample
E13,101.0,DLN092,sample
E14,102.0,DLN093,sample
E15,103.0,DLN094,sample
E16,104.0,DLN095,sample
E17,105.0,DLN096,sample
E18,106.0,DLN097_1,sample
E19,107.0,DLN097_2,sample
E20,108.0,DLN098,sample
E21,109.0,DLN099,sample
E22,110.0,DLN100,sample
E23,,NTC,NTC
E24,,NPC,NPC
F01,111.0,DLN101_1,sample
F02,112.0,DLN101_2,sample
F03,113.0,DLN102_1,sample
F04,114.0,DLN102_2,sample
F05,115.0,DLN102_c,sample
F06,116.0,DLN103,sample
F07,117.0,DLN104,sample
F08,118.0,DLN106,sample
F09,119.0,DLN107_1,sample
F10,120.0,DLN107_2,sample
F11,121.0,DLN109,sample
F12,122.0,DLN110,sample
F13,123.0,DLN111_c,sample
F14,124.0,DLN112_a,sample
F15,125.0,DLN112_b,sample
F16,126.0,DLN113_a,sample
F17,127.0,DLN113_b,sample
F18,128.0,DLN114_b,sample
F19,129.0,DLN115_a,sample
F20,130.0,DLN115_b,sample
F21,131.0,DLN116_a,sample
F22,132.0,DLN116_b,sample
F23,,NTC,NTC
F24,,NPC,NPC
G01,133.0,DLN116_c_1,sample
G02,134.0,DLN116_c_2,sample
G03,135.0,DLN116,sample
G04,136.0,DLN117,sample
G05,137.0,DLN117_b,sample
G06,138.0,DLN118,sample
G07,139.0,DLN120_a,sample
G08,140.0,DLN120,sample
G09,141.0,DLN121,sample
G10,142.0,DLN122,sample
G11,143.0,DLN123,sample
G12,144.0,DLN126_1,sample
G13,145.0,DLN126_2,sample
G14,146.0,DLN127,sample
G15,147.0,DLN128_1,sample
G16,148.0,DLN128_2,sample
G17,149.0,DLN129_1,sample
G18,150.0,DLN129_2,sample
G19,151.0,DLN130,sample
G20,152.0,DLN131_1,sample
G21,153.0,DLN131_2,sample
G22,154.0,DLN133_1,sample
G23,,NTC,NTC
G24,,NPC,NPC
H01,155.0,DLN133_2,sample
H02,156.0,DLN134,sample
H03,157.0,DLN135,sample
