"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV8b7801b7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","ananatis"
"ASVf6134ec0","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV42361283","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","gladioli"
"ASV18960544","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"ASV68542ec4","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASVbfc1cb18","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV036d1605","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","psychrotolerans"
"ASVc1cf6525","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","vietnamiensis"
"ASVfdb9a9d2","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
"ASV7581ccbe","Bacteria","Bacillota","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV4420527a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","pseudomallei"
"ASVafd461b5","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA
"ASV7147dc31","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASV6afbf6ca","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","maltophilia"
"ASV813b3e1b","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","enterica"
"ASV427ce498","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylorubrum","extorquens"
"ASVc6cbe84b","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV80b82b3a","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASVf7c06f38","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",NA
"ASVffcb689d","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"ASV5a20c9c8","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASVdcc627a9","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium",NA
"ASV4451ec1b","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Dyella",NA
"ASV3b1d5b04","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASVe0cd7d0a","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"ASV881be12b","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"ASVbd0ddf3e","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Xanthomonas","albilineans"
"ASV3a8c76d1","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA
